
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 466.19; 2400.546;  -10.823; 3354.812;71.64676
 466.78; 2421.451;  -13.725; 3426.218;70.79116
 467.37; 2403.483;  -11.591; 3479.980;69.16868
 467.96; 2351.482;  -13.358; 3517.325;66.97967
 468.55; 2329.254;  -13.860; 3576.639;65.25874
 469.14; 2257.184;  -15.392; 3650.262;61.99646
 469.73; 2221.151;   -9.692; 3786.353;58.76756
 470.32; 2108.385;  -18.093; 3853.581;54.92399
 470.91; 2016.817;  -10.659; 3981.580;50.78544
 471.50; 1872.015;   -9.524; 4051.805;46.32817
 472.09; 1736.816;  -11.025; 4168.755;41.81656
 472.67; 1576.417;  -17.492; 4281.447;37.07679
 473.26; 1448.183;  -10.592; 4420.640;32.92031
 473.85; 1277.717;  -12.425; 4562.973;28.19736
 474.44; 1130.117;  -10.559; 4669.783;24.37164
 475.03; 1005.484;   -5.725; 4829.546;20.91318
 475.62;  871.845;  -15.889; 4940.616;17.91050
 476.21;  766.685;  -14.192; 5108.567;15.24330
 476.80;  671.150;  -15.558; 5253.217;13.03354
 477.39;  565.283;   -9.891; 5348.470;10.73414
 477.98;  491.653;  -11.360; 5540.583; 9.06012
 478.57;  441.418;  -13.959; 5782.210; 7.85652
 479.16;  368.251;   -9.126; 5900.145; 6.38619
 479.75;  325.481;  -15.891; 6083.465; 5.59685
 480.34;  277.916;  -12.658; 6191.943; 4.68320
 480.93;  240.886;  -12.760; 6287.305; 4.02609
 481.52;  209.416;  -14.892; 6555.684; 3.41383
 482.11;  175.716;  -15.291; 6688.665; 2.84918
 482.69;  145.952;  -10.093; 6779.939; 2.29814
 483.28;  133.284;   -4.125; 6951.759; 1.97544
 483.87;  119.719;  -15.359; 7153.262; 1.88430
 484.46;   93.554;   -0.794; 7302.795; 1.29180
 485.05;   84.717;  -11.492; 7440.793; 1.29100
 485.64;   76.281;  -11.057; 7619.571; 1.14457
 486.23;   63.983;   -7.558; 7744.619; 0.92284
 486.82;   54.652;  -13.426; 7958.320; 0.85400
 487.41;   56.114;  -14.290; 8148.747; 0.86248
 488.00;   41.453;   -5.560; 8303.795; 0.56579
 488.58;   46.086;   -4.493; 8240.657; 0.61343
 489.17;   34.451;  -12.659; 8333.357; 0.56446
 489.76;   34.284;  -14.725; 8689.415; 0.56306
